Time	Time Code	Country Name	Country Code	Surface	Population	GNI
2010	YR2010	Afghanistan	AFG	652860	28803167	15998801042.3649
2010	YR2010	Bangladesh	BGD	148460	152149102	124617096900.553
2010	YR2010	Bhutan	BTN	38394	727641	1497491569.31098
2010	YR2010	India	IND	3287260	1230980691	1638663459970.89
2010	YR2010	Maldives	MDV	300	364511	2276923140.625
2010	YR2010	Nepal	NPL	147180	27023137	16124973167.3285
2010	YR2010	Pakistan	PAK	796100	170560182	184163841544.981
2010	YR2010	Sri Lanka	LKA	65610	20198353	56110843799.7523
2010	YR2010	Albania	ALB	28750	2913021	11807797845.6056
2010	YR2010	Andorra	AND	470	84449	
2010	YR2010	Armenia	ARM	29740	2877311	9718566372.4156
2010	YR2010	Austria	AUT	83879	8363404	395170908981.876
2010	YR2010	Azerbaijan	AZE	86600	9054332	49734894730.2853
2010	YR2010	Belarus	BLR	207600	9490583	56126222222.2222
2010	YR2010	Belgium	BEL	30530	10895586	498788978070.103
2010	YR2010	Bosnia and Herzegovina	BIH	51210	3722084	17456154533.7577
2010	YR2010	Bulgaria	BGR	111000	7395599	49556179775.2809
2010	YR2010	Channel Islands	CHI	190	159581	
2010	YR2010	Croatia	HRV	56590	4417781	58153517806.4751
2010	YR2010	Cyprus	CYP	9250	1112607	24790941456.9536
2010	YR2010	Czech Republic	CZE	78870	10474410	191444661160.054
2010	YR2010	Denmark	DNK	43090	5547683	327262172001.618
2010	YR2010	Estonia	EST	45230	1331475	18457311665.0512
2010	YR2010	Faroe Islands	FRO	1396	48550	2384381501.04017
2010	YR2010	Finland	FIN	338420	5363352	251157231765.127
2010	YR2010	France	FRA	549087	65027507	2700865683063.93
2010	YR2010	Georgia	GEO	69700	3926000	11279109240.8685
2010	YR2010	Germany	DEU	357127	81776930	3484417706610.16
2010	YR2010	Gibraltar	GIB	10	33189	
2010	YR2010	Greece	GRC	131960	11121341	293229174390.905
2010	YR2010	Greenland	GRL	410450	56905	
2010	YR2010	Hungary	HUN	93030	10000023	124207413047.573
2010	YR2010	Iceland	ISL	103000	318041	11120562233.1499
2010	YR2010	Ireland	IRL	70280	4560155	185315698663.043
2010	YR2010	Isle of Man	IMN	570	80072	5981738257.10754
2010	YR2010	Italy	ITA	301340	59277417	2120821410407.31
2010	YR2010	Kazakhstan	KAZ	2724902	16321872	128676481286.689
2010	YR2010	Kosovo	XKX	10887	1775680	5918807947.01987
2010	YR2010	Kyrgyz Republic	KGZ	199949	5447900	4489298355.46283
2010	YR2010	Latvia	LVA	64510	2097555	24056056466.7473
2010	YR2010	Liechtenstein	LIE	160	36003	4285933454.78953
2010	YR2010	Lithuania	LTU	65300	3097282	36429070252.7209
2010	YR2010	Luxembourg	LUX	2590	506953	38486384053.5831
2010	YR2010	Macedonia, FYR	MKD	25710	2070739	9276084673.89761
2010	YR2010	Moldova	MDA	33850	3562045	6296583476.83377
2010	YR2010	Monaco	MCO	2	37094	
2010	YR2010	Montenegro	MNE	13810	619428	4110399867.54967
2010	YR2010	Netherlands	NLD	41540	16615394	843163043898.571
2010	YR2010	Norway	NOR	385178	4889252	433104701502.826
2010	YR2010	Poland	POL	312680	38042794	463698471130.567
2010	YR2010	Portugal	PRT	92210	10573100	230288867625.382
2010	YR2010	Romania	ROU	238390	20246871	164122770194.153
2010	YR2010	Russian Federation	RUS	17098250	142849449	1477812904649.32
2010	YR2010	San Marino	SMR	60	31110	
2010	YR2010	Serbia	SRB	88360	7291436	38567721683.9554
2010	YR2010	Slovak Republic	SVK	49037	5391428	87493943010.8121
2010	YR2010	Slovenia	SVN	20270	2048583	47566628060.1576
2010	YR2010	Spain	ESP	505600	46576897	1411545097005.49
2010	YR2010	Sweden	SWE	450300	9378126	502681630504.418
2010	YR2010	Switzerland	CHE	41290	7824909	616380409800.038
2010	YR2010	Tajikistan	TJK	142550	7641630	6969687051.83832
2010	YR2010	Turkey	TUR	785350	72326914	765386559156.242
2010	YR2010	Turkmenistan	TKM	488100	5087210	20689157894.7368
2010	YR2010	Ukraine	UKR	603550	45870700	134004155905.036
2010	YR2010	United Kingdom	GBR	243610	62766365	2460886632006.92
2010	YR2010	Uzbekistan	UZB	447400	28562400	40527781551.728
2010	YR2010	Algeria	DZA	2381740	36117637	160819911155.325
2010	YR2010	Bahrain	BHR	762	1240862	23340132978.7234
2010	YR2010	Djibouti	DJI	23200	851146	
2010	YR2010	Egypt, Arab Rep.	EGY	1001450	84107606	214525524816.777
2010	YR2010	Iran, Islamic Rep.	IRN	1745150	74567511	487148670463.766
2010	YR2010	Iraq	IRQ	435240	30762701	140108122649.573
2010	YR2010	Israel	ISR	22070	7623600	229131258197.379
2010	YR2010	Jordan	JOR	89320	7182390	26210731549.2958
2010	YR2010	Kuwait	KWT	17820	2998083	123881050942.08
2010	YR2010	Lebanon	LBN	10450	4337141	37910726628.1924
2010	YR2010	Libya	LBY	1759540	6169140	74744237448.6896
2010	YR2010	Malta	MLT	320	414508	8282743708.60927
2010	YR2010	Morocco	MAR	446550	32409639	91932709214.4656
2010	YR2010	Oman	OMN	309500	3041460	55060347464.2393
2010	YR2010	Qatar	QAT	11610	1779676	112178571428.571
2010	YR2010	Saudi Arabia	SAU	2149690	27425676	535251466666.667
2010	YR2010	Syrian Arab Republic	SYR	185180	21018834	
2010	YR2010	Tunisia	TUN	163610	10639931	41983512644.963
2010	YR2010	United Arab Emirates	ARE	83600	8270684	289780770565.01
2010	YR2010	West Bank and Gaza	PSE	6020	3811102	9512200000
2010	YR2010	Yemen, Rep.	YEM	527970	23606779	29087765768.4776
2010	YR2010	American Samoa	ASM	200	55637	
2010	YR2010	Australia	AUS	7741220	22031750	1099735752664.49
2010	YR2010	Brunei Darussalam	BRN	5770	388662	13606894022.7356
2010	YR2010	Cambodia	KHM	181040	14308740	10727606651.3343
2010	YR2010	China	CHN	9562911	1337705000	6074548591678.36
2010	YR2010	Fiji	FJI	18270	859950	3043130949.27801
2010	YR2010	French Polynesia	PYF	4000	267820	
2010	YR2010	Guam	GUM	540	159444	
2010	YR2010	Hong Kong SAR, China	HKG	1100	7024200	233476805848.736
2010	YR2010	Indonesia	IDN	1910930	242524123	734988313962.735
2010	YR2010	Japan	JPN	377950	128070000	5847341432190.46
2010	YR2010	Kiribati	KIR	810	102652	222744358.833242
2010	YR2010	Korea, Dem. People’s Rep.	PRK	120540	24591599	
2010	YR2010	Korea, Rep.	KOR	100030	49554112	1095599453662.05
2010	YR2010	Lao PDR	LAO	236800	6246274	6675875806.53202
2010	YR2010	Macao SAR, China	MAC	29.6999999999999	536969	25080365399.5151
2010	YR2010	Malaysia	MYS	330800	28112289	246904163174.071
2010	YR2010	Marshall Islands	MHL	180	52425	199294900
2010	YR2010	Micronesia, Fed. Sts.	FSM	700	103616	307088400
2010	YR2010	Mongolia	MNG	1564120	2712650	6609616683.64695
2010	YR2010	Myanmar	MMR	676590	50155896	49528711971.0951
2010	YR2010	Nauru	NRU	20	10025	57360440.5286344
2010	YR2010	New Caledonia	NCL	18580	249750	
2010	YR2010	New Zealand	NZL	267710	4350700	139300538828.216
2010	YR2010	Northern Mariana Islands	MNP	460	54424	
2010	YR2010	Palau	PLW	460	20470	181519800
2010	YR2010	Papua New Guinea	PNG	462840	7108239	13103843049.9518
2010	YR2010	Philippines	PHL	300000	93726624	240578672659.022
2010	YR2010	Samoa	WSM	2840	186205	624740011.033178
2010	YR2010	Singapore	SGP	712	5076732	235076347634.763
2010	YR2010	Solomon Islands	SLB	28900	527790	496544088.288177
2010	YR2010	Thailand	THA	513120	67208808	326815629763.584
2010	YR2010	Timor-Leste	TLS	14870	1109591	3337447156.78022
2010	YR2010	Tonga	TON	750	104137	381421328.218155
2010	YR2010	Tuvalu	TUV	30	10531	50918730.5081636
2010	YR2010	Vanuatu	VUT	12190	236295	675721146.721868
